"PIB File Number","Date","Disposition","Service Type","Force Type","Force Level","Officer Race","Officer Gender","Officer Age","Officers Yrs of Service","Subject Gender","Subject Race","Subject Age","Subject Injured","UOF Reason","Officer Injured","Number of Officers","Binning Number of Officers","Force.Type.Binning"
"FTN2018-0128","04/09/2018","Use Of Force Authorized","Arresting","Hands | Hands","L1 | L1","Hispanic | White","Male | Male","53 | 40","13 | 6","Male","Black","13","Yes","Battery on Police Officer","No | Yes",2,"2","1"
"FTN2018-0121","04/09/2018","UOF Justified","Call for Service","CEW Deployment","L2","White","Male","28","4","Male","Black","26","Yes","Flight from an Officer","Yes",1,"1","2"
"FTN2018-0127","04/09/2018","Use Of Force Authorized","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","Black | Black | White","Female | Female | Male","32 | 42 | 54","13 | 16 | 24","Male",NA,"53","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2018-0129","04/09/2018","UOF Justified","Arresting","Firearm (Exhibited)","L1","White","Male","52","14","Male","Black","42","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0130","04/11/2018","Use Of Force Authorized","Call for Service","CEW Deployment","L2","Hispanic","Male","30","5","Male","Asian","33","No","Resisting Officer w/Weapon","No",1,"1","2"
"FTN2018-0131","04/12/2018","UOF Justified","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | Black","Female | Female | Male","43 | 28 | 24","13 | 2 | 4","Male","Black","27","No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2018-0133","04/12/2018","Use Of Force Authorized","Pedestrian Stop","Baton (non-strike)","L1","Black","Male","39","16","Male","White","24","No","Battery on Police Officer","No",1,"1","2"
"FTN2018-0132","04/12/2018","Use Of Force Authorized","Arresting","Takedown (w/injury)","L2","Black","Male","35","16","Male","Black","30","Yes","Flight from an Officer","No",1,"1","1"
"FTN2018-0135","04/13/2018","UOF Justified","Arresting","Force (Take Down) | Hands | Takedown (no injury)","L2 | L1 | L1","White | White | White","Male | Male | Male","36 | 29 | 28","11 | 8 | 6","Male","Black","34","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2018-0136","04/15/2018","UOF Justified",NA,"Firearm (Exhibited)","L1","White","Female","43","13","Male | Male","Black | Indian","22 | 35","No | No","refuse verbal commands","No",1,"1","1"
"FTN2018-0138","04/15/2018","Use Of Force Authorized","Call for Service","Canine (No Bite) | Hands","L2 | L1","White | Black","Male | Male","50 | 44","29 | 23","Male","Black","19","No","Escape","No | No",2,"2","2"
"FTN2018-0140","04/17/2018","UOF Justified","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | Black","Male | Male","32 | 28","6 | 5","Male","Black","31","Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2018-0141","04/19/2018","Use Of Force Authorized","Arresting","Hands | Hands","L1 | L1","Black | White","Female | Female","50 | 26","25 | 3","Male","Black","32","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2018-0142","04/19/2018","UOF Justified With Policy Violation","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | Asian/Pacifi | Black","Male | Male | Male","35 | 35 | 42","12 | 12 | 16","Male","Black","30","No",NA,"No | No | No",3,"3+","1"
"FTN2018-0143","04/19/2018","Cancel FIT FTN","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1 | L1","White | White | Black | White | White","Male | Male | Male | Male | Male","28 | 40 | 32 | 25 | 34","7 | 6 | 6 | 6 | 4","Male | Male | Male | Male | Male","Black | Black | Black | Black | Black","17 | 18 | 15 | 16 | 16","No | No | No | No | No","Resisting Lawful Arrest","No | No | Yes | No | No",5,"3+","1"
"FTN2018-0144","04/19/2018","UOF Justified","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1 | L1 | L1","Black | White | White | Black | White | White","Male | Male | Male | Male | Male | Male","43 | 28 | 40 | 32 | 25 | 34","18 | 7 | 6 | 6 | 6 | 4","Male | Male | Male | Male | Male","Black | Black | Black | Black | Black","17 | 18 | 15 | 16 | 16","No | No | No | No | No","Resisting Lawful Arrest","No | No | No | Yes | No | No",6,"3+","1"
"FTN2018-0145","04/20/2018","Use Of Force Authorized","Call for Service","Hands","L1","Black","Male","35","4","Female","White","77","Yes","refuse verbal commands","No",1,"1","1"
"FTN2018-0147","04/21/2018","UOF Justified","Traffic Stop","Hands","L1","White","Male","31","5","Male","Black","30","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0148","04/21/2018","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","43","6","Male","Hispanic","31","No","refuse verbal commands","No",1,"1","1"
"FTN2018-0146","04/21/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","White","Male","41","22","Male | Male","Black | Black","15 | 15","No | No",NA,"No",1,"1","1"
"FTN2018-0149","04/22/2018","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","47","16","Male","Black",NA,"No","Weapon Exhibited","No",1,"1","1"
"FTN2018-0150","04/22/2018","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Asian/Pacif | Black","Male | Male","35 | 34","12 | 16","Male","Black","26","No","Weapon Exhibited","No | No",2,"2","1"
"FTN2018-0151","04/24/2018","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","39","16","Male","Black","28","No",NA,"No",1,"1","1"
"FTN2018-0153","04/26/2018","UOF Justified","Call for Service","Hands | Hands","L1 | L1","Black | White","Male | Male","24 | 35","4 | 4","Female","Black","32","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2018-0155","04/27/2018","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","44","20","Male | Male | Female | Female","Black | Black | Black | White","52 | 55 | 48 | 49","No | No | No | No","Tactical Deployments","No",1,"1","1"
"FTN2018-0156","04/27/2018","UOF Justified","Arresting","Takedown (no injury) | Takedown (no injury)","L1 | L1","White | Asian/Pacifi","Male | Male","43 | 26","12 | 5","Male","Black","29","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2018-0157","04/30/2018","Use Of Force Authorized","Call for Service","CEW Deployment","L2","White","Male","44","13","Male","Black","32","No",NA,"No",1,"1","2"
"FTN2018-0159","04/30/2018","Use Of Force Authorized","Arresting","Firearm (Exhibited)","L1","White","Male","40","14","Male","Black","19","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0158","04/30/2018","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","22","4","Male","Black","22","No","Weapon Exhibited","No",1,"1","1"
"FTN2018-0160","05/01/2018","UOF Justified With Training","Call for Service","Firearm (Exhibited)","L1","Black","Male","35","4","Female","Asian","23","No",NA,"No",1,"1","1"
"FTN2018-0161","05/01/2018","UOF Justified","Call for Service","Hands","L1","Hispanic","Male","31","5","Male","Black","38","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0163","05/01/2018","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1","White | White | Not Specifie | White","Male | Male | Male | Male","45 | 29 | 29 | 34","21 | 7 | 6 | 6","Male | Female | Male | Male","Black | Black | Black | Black","23 | 24 | 19 | 20","No | No | No | No","Weapon Exhibited","No | No | No | No",4,"3+","1"
"FTN2018-0164","05/02/2018","UOF Justified","Call for Service","Hands | Takedown (no injury)","L1 | L1","White | Black","Female | Male","34 | 35","6 | 4","Male","Black","35","No",NA,"No | No",2,"2","1"
"FTN2018-0162","05/02/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Hispanic","Male","24","4","Male","Black",NA,"No","refuse verbal commands","No",1,"1","1"
"FTN2018-0168","05/03/2018","Use Of Force Authorized","Call for Service","Hands | Hands | CEW Deployment","L1 | L1 | L2","White | White | White","Male | Male | Male","28 | 23 | 28","4 | 4 | 4","Male","Black","30","No","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2018-0167","05/03/2018","UOF Justified","Call for Service","Hands | CEW Deployment | Hands","L1 | L2 | L1","White | White | White","Male | Male | Male","41 | 41 | 30","4 | 4 | 4","Male","Black","33","No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2018-0169","05/04/2018","Use Of Force Authorized","Call for Service","Force (Escort Tech)","L1","White","Male","31","5","Male","Black","35","No",NA,"No",1,"1","2"
"FTN2018-0170","05/04/2018","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Female","49 | 32","24 | 7","Male","Black","37","No",NA,"No | No",2,"2","1"
"FTN2018-0171","05/04/2018","Use Of Force Authorized","Traffic Stop","Takedown (no injury) | Takedown (no injury)","L1 | L1","White | White","Male | Male","28 | 27","6 | 6","Male","Black","29","No","refuse verbal commands","No | No",2,"2","1"
"FTN2018-0172","05/05/2018","UOF Complaint of Injury/No Reportable Force Used","Call for Service","CEW Deployment","L2","Hispanic","Female","37","10","Male","Black","0","Yes",NA,"No",1,"1","2"
"FTN2018-0173","05/05/2018","Use Of Force Authorized","Call for Service","Takedown (no injury)","L1","White","Male","30","5","Female","Black","24","No",NA,"Yes",1,"1","1"
"FTN2018-0174","05/06/2018","UOF Justified","Pedestrian Stop","Takedown (no injury) | Hands","L1 | L1","White | Black","Male | Male","31 | 44","5 | 4","Male","Black","20","No","Flight from an Officer","No | No",2,"2","1"
"FTN2018-0175","05/06/2018","UOF Justified","Traffic Stop","Firearm (Exhibited)","L1","White","Male","31","5","Male","Black","17","No","Resisting Officer w/Weapon","No",1,"1","1"
"FTN2018-0176","05/06/2018","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Takedown (no injury)","L1 | L1 | L1 | L1","Black | Black | Black | Black","Male | Female | Male | Male","29 | 31 | 28 | 28","6 | 6 | 5 | 5","Male | Male | Male","Black | Black | Black","21 | 20 | 20","No | No | No","Flight from an Officer","No | No | No | No",4,"3+","1"
"FTN2018-0178","05/08/2018","UOF Justified","Call for Service","Takedown (no injury) | Hands | Takedown (no injury) | Takedown (no injury) | CEW Deployment | Hands | Takedown (no injury)","L1 | L1 | L1 | L1 | L2 | L1 | L1","Black | Black | Black | Hispanic | Hispanic | White | Hispanic","Male | Male | Male | Male | Male | Male | Male","55 | 45 | 45 | 26 | 26 | 33 | 27","32 | 21 | 21 | 4 | 4 | 4 | 4","Male","Black","31","No","Resisting Lawful Arrest","No | No | No | No | No | No | No",7,"3+","2"
"FTN2018-0179","05/08/2018","UOF Justified","Traffic Stop","Takedown (no injury) | Takedown (no injury) | Force (Defense Tech)","L1 | L1 | L2","Hispanic | Black | Black","Male | Male | Male","35 | 31 | 31","5 | 4 | 4","Male","White","23","No","Escape","No | No | No",3,"3+","1"
"FTN2018-0183","05/11/2018","UOF Justified","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1","Black | Black | White | White","Male | Male | Male | Male","29 | 30 | 34 | 30","11 | 8 | 6 | 6","Male | Male | Male","White | Black | Black","32 | 18 | 39","No | No | No","refuse verbal commands","No | No | No | No",4,"3+","1"
"FTN2018-0182","05/11/2018","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","41 | 26","13 | 5","Male | Female","Black | Black","44 | 22","No | No",NA,"No | No",2,"2","1"
"FTN2018-0184","05/12/2018","UOF Justified","Call for Service","Takedown (no injury)","L1","White","Male","35","15","Male","Black","27","No","refuse verbal commands","No",1,"1","1"
"FTN2018-0185","05/12/2018","UOF Justified","Call for Service","Takedown (no injury)","L1","White","Male","31","5","Male","Black","30","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2018-0186","05/14/2018","UOF Justified","Call for Service","Takedown (no injury) | Hands | Takedown (no injury)","L1 | L1 | L1","White | Black | Black","Male | Female | Male","42 | 26 | 30","7 | 0 | 5","Male","Black","18","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2018-0187","05/15/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Male","35","17","Male","Black","38","No",NA,"No",1,"1","1"
"FTN2018-0188","05/17/2018","UOF Justified","Arresting","Firearm (Exhibited)","L1","Black","Male","31","4","Male","Black","16","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2018-0189","05/20/2018","UOF Justified","Arresting","Head Strike (No Wep)","L3","Black","Male","61","20","Male","Hispanic",NA,"Yes","Battery on Police Officer","No",1,"1","1"
"FTN2018-0190","05/20/2018","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Female","37 | 26","13 | 3","Male","Black","21","No","Flight from an Officer","No | No",2,"2","1"
"FTN2018-0193","05/21/2018","UOF Justified","Arresting","Hands | Force (Take Down) | Hands | Force (Take Down)","L1 | L2 | L1 | L2","White | White | Black | Black","Male | Male | Male | Male","53 | 53 | 32 | 32","5 | 5 | 4 | 4","Male","Black","21","No","Resisting Lawful Arrest","No | No | No | No",4,"3+","1"
"FTN2018-0195","05/21/2018","UOF Justified","Arresting","Firearm (Exhibited)","L1","Black","Male","41","18","Male","Black","25","No","Tactical Deployments","No",1,"1","1"
"FTN2018-0191","05/21/2018","UOF Justified","Call for Service","Force (Take Down) | Force (Take Down) | Force (Take Down)","L2 | L2 | L2","White | Black | Hispanic","Male | Male | Male","44 | 48 | 30","13 | 26 | 6","Male","Black","38","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2018-0192","05/21/2018","UOF Justified","Arresting","Firearm (Exhibited)","L1","White","Male","39","2","Male","Black","18","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0194","05/22/2018","UOF Justified","Call for Service","Hands | Hands","L1 | L1","Hispanic | White","Male | Male","26 | 30","4 | 4","Female","Black","45","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2018-0196","05/23/2018","UOF Justified With Training","Call for Service","CEW | Hands","L4 | L1","White | White","Male | Male","42 | 31","7 | 5","Male","White","38","Yes","refuse verbal commands","No | No",2,"2","2"
"FTN2018-0197","05/24/2018","UOF Justified","Arresting","Hands | Hands | Hands","L1 | L1 | L1","White | White | Black","Male | Male | Male","26 | 41 | 32","5 | 5 | 4","Male | Female","White | White","26 | 27","Yes | Yes","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2018-0198","05/24/2018","UOF Justified","Arresting","Takedown (no injury)","L1","White","Male","56","23","Female","White","37","No","Battery on Police Officer","No",1,"1","1"
"FTN2018-0201","05/27/2018","UOF Justified",NA,"Hands","L1","Black","Female","31","6","Female","Black","27","No","Battery on Police Officer","No",1,"1","1"
"FTN2018-0200","05/27/2018","UOF Justified","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | Black","Male | Male","39 | 35","11 | 13","Male","Black","21","No","Weapon Exhibited","No | No",2,"2","1"
"FTN2018-0203","05/28/2018","UOF Justified","Call for Service","Hands | Hands","L1 | L1","White | White","Male | Male","34 | 30","11 | 3","Female","Black","21","No","Resisting Lawful Arrest","Yes | No",2,"2","1"
"FTN2018-0202","05/28/2018","UOF Justified","Call for Service","Takedown (w/injury) | Hands","L2 | L1","White | Black","Male | Female","37 | 29","5 | 4","Male","Black","21","Yes","refuse verbal commands","Yes | No",2,"2","1"
"FTN2018-0204","05/29/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Male","49","29","Male | Male","Black | Black","24 | ","No | No","Flight from an Officer","No",1,"1","1"
"FTN2018-0205","05/30/2018","UOF Justified","Pedestrian Stop","CEW Deployment | Firearm (Exhibited) | CEW Deployment","L2 | L1 | L2","White | White | White","Male | Male | Male","25 | 34 | 34","6 | 4 | 4","Male","Black","39","Yes","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2018-0205","05/30/2018","UOF Justified","Pedestrian Stop","CEW Deployment | Firearm (Exhibited) | CEW Deployment","L2 | L1 | L2","White | White | White","Male | Male | Male","25 | 34 | 34","6 | 4 | 4","Male","Black","39","Yes","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2018-0206","05/31/2018","UOF Justified","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","46","23","Male","Black","31","No",NA,"No",1,"1","1"
"FTN2018-0207","05/31/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Male","22","4","Male","Black","15","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0208","06/02/2018","UOF Justified","Pedestrian Stop","CEW Deployment | Firearm (Exhibited)","L2 | L1","Hispanic | White","Male | Male","53 | 34","13 | 4","Male","Black","25","Yes","Resisting Lawful Arrest","No | No",2,"2","2"
"FTN2018-0226","06/04/2018","UOF Justified","Serving a Warrant","Firearm (Exhibited)","L1","White","Male","34","6","Male | Male | Male","Black | Black | Black","23 | 21 | 20","No | No | No","Tactical Deployments","No",1,"1","1"
"FTN2018-0213","06/06/2018","UOF Justified","Traffic Stop","Hands","L1","Black","Male","31","4","Male","Black","19","No","Resisting Lawful Arrest","Yes",1,"1","1"
"FTN2018-0209","06/07/2018","UOF Justified","Arresting","Firearm (Exhibited) | Takedown (w/injury) | Firearm (Exhibited)","L1 | L2 | L1","Black | White | Black","Male | Male | Male","38 | 44 | 46","14 | 21 | 23","Male","Black","26","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2018-0210","06/07/2018","UOF Justified","Traffic Stop","Firearm (Exhibited)","L1","Black","Male","35","4","Male","Black","28","No","refuse verbal commands","No",1,"1","1"
"FTN2018-0211","06/08/2018","UOF Justified","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","White | White | White","Male | Male | Male","31 | 42 | 40","11 | 19 | 3","Male","Black","25","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2018-0212","06/08/2018","UOF Justified","Call for Service","Takedown (no injury)","L1","Black","Male","22","4","Male","Black","37","No","refuse verbal commands","No",1,"1","1"
"FTN2018-0215","06/10/2018","UOF Justified","Call for Service","CEW Deployment","L2","White","Male","30","6","Male","Black","34","No","refuse verbal commands","No",1,"1","2"
"FTN2018-0214","06/10/2018","UOF Justified","Call for Service","CEW Deployment","L2","White","Male","31","5","Male","Black","29","Yes","Weapon Exhibited","No",1,"1","2"
"FTN2018-0216","06/11/2018","UOF Justified","Arresting","Firearm (Exhibited)","L1","Black","Male","30","7","Male","Black","33","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0217","06/12/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Male","31","8","Male","Black","38","No","refuse verbal commands","No",1,"1","1"
"FTN2018-0218","06/13/2018","UOF Justified","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","30","8","Male","Black","51","No","refuse verbal commands","No",1,"1","1"
"FTN2018-0219","06/13/2018","UOF Justified","Call for Service","Takedown (no injury)","L1","White","Male","48","23","Female","White","26","No","Battery on Police Officer","No",1,"1","1"
"FTN2018-0220","06/13/2018","UOF Justified","Arresting","Force (Take Down)","L2","Hispanic","Male","38","9","Male","White","44","Yes","Flight from an Officer","No",1,"1","1"
"FTN2018-0221","06/14/2018","UOF Justified","Arresting","Firearm (Exhibited) | Takedown (no injury)","L1 | L1","White | White","Male | Male","35 | 35","9 | 9","Male","Black","14","No","Weapon Exhibited","No | No",2,"2","1"
"FTN2018-0222","06/17/2018","UOF Justified","Arresting","CEW Deployment | Hands | Hands","L2 | L1 | L1","White | Black | White","Male | Male | Male","39 | 37 | 23","8 | 6 | 4","Female | Male | Male | Male | Male","Black | Black | Black | Black | Black","26 | 27 | 31 | 27 | 24","Yes | Yes | Yes | Yes | Yes","Resisting Lawful Arrest","No | Yes | No",3,"3+","2"
"FTN2018-0223","06/17/2018","UOF Justified","Arresting","Other | Takedown (no injury) | Hands","L1 | L1 | L1","White | White | White","Male | Male | Male","31 | 28 | 33","6 | 6 | 5","Male","Black",NA,"No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2018-0225","06/17/2018","UOF Justified","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","25 | 34","6 | 4","Male","Black","19","No","Resisting Officer w/Weapon","No | No",2,"2","1"
"FTN2018-0224","06/17/2018","UOF Not Justified","Arresting","CEW Deployment | CEW Deployment | Head Strike (No Wep)","L2 | L2 | L3","Black | Black | Black","Male | Male | Male","42 | 54 | 58","15 | 29 | 29","Male","Black","44","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2018-0228","06/20/2018","UOF Justified","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","38","16","Male","Black","0","No","Tactical Deployments","No",1,"1","1"
"FTN2018-0230","06/20/2018","UOF Not Justified","Arresting","Handcuffed Subject | Hands | Handcuffed Subject","L4 | L1 | L4","Black | Black | Black","Male | Male | Male","55 | 22 | 22","25 | 4 | 4","Male","Black","28","Yes","refuse verbal commands","Yes | No | No",3,"3+","1"
"FTN2018-0229","06/20/2018","UOF Justified","Traffic Stop","Firearm (Exhibited)","L1","Black","Male","23","5","Male","Black","24","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0231","06/21/2018","UOF Justified With Policy Violation","Call for Service","Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech) | Hands","L1 | L1 | L1 | L1","White | White | White | White","Male | Male | Male | Male","42 | 26 | 40 | 40","19 | 5 | 3 | 3","Female","White","28","No","refuse verbal commands","No | No | No | No",4,"3+","2"
"FTN2018-0232","06/22/2018","UOF Justified","Arresting","Takedown (no injury)","L1","Black","Male","38","16","Male","Black","28","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2018-0233","06/22/2018","UOF Justified","Arresting","Hands | Hands","L1 | L1","Black | Black","Female | Male","41 | 25","20 | 4","Female","Black","23","Yes","Escape","No | No",2,"2","1"
"FTN2018-0234","06/23/2018","UOF Justified","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Black | Asian/Pacifi | White","Male | Male | Male","35 | 26 | 23","13 | 5 | 4","Male","Black","23","No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2018-0235","06/23/2018","UOF Justified","Arresting","Takedown (no injury) | Takedown (no injury)","L1 | L1","White | White","Male | Female","31 | 26","11 | 6","Male","White","52","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2018-0236","06/28/2018","UOF Justified",NA,"Firearm (Exhibited)","L1","Hispanic","Male","38","9","Male","White","0","No","Escape","No",1,"1","1"
"FTN2018-0237","06/28/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Male","46","23","Male","Black","17","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0238","06/28/2018","UOF Justified With Policy Violation","Pedestrian Stop","CEW Deployment","L2","Black","Male","23","5","Male","Black",NA,"No","Resisting Officer w/Weapon","No",1,"1","2"
"FTN2018-0255","06/28/2018","UOF Justified","Arresting","Takedown (no injury)","L1","Black","Male","34","5","Male","Black","16","No","Flight from an Officer","No",1,"1","1"
"FTN2018-0239","06/30/2018","UOF Justified","Call for Service","Hands | Takedown (no injury) | Hands","L1 | L1 | L1","White | White | White","Male | Male | Male","36 | 36 | 31","14 | 14 | 5","Male","Black","39","No","Battery on Police Officer","No | No | No",3,"3+","1"
"FTN2018-0240","07/03/2018","UOF Justified","Call for Service","CEW Deployment","L2","White","Male","31","5","Male","Black","31","No","Battery on Police Officer","No",1,"1","2"
"FTN2018-0242","07/03/2018","UOF Justified","Pedestrian Stop","Firearm (Exhibited) | Takedown (no injury)","L1 | L1","Black | Black","Male | Male","26 | 28","6 | 5","Male | Female | Female","Black | Black | Black","20 | 17 | 16","No | No | No","refuse verbal commands","Yes | Yes",2,"2","1"
"FTN2018-0243","07/06/2018","UOF Justified","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | Black","Male | Female","40 | 31","5 | 4","Male","Black","39","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2018-0244","07/06/2018","UOF Justified With Training","Call for Service","Hands | Hands","L1 | L1","Black | White","Male | Male","47 | 35","13 | 4","Male","Black","24","No",NA,"No | No",2,"2","1"
"FTN2018-0246","07/07/2018","UOF Justified","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Black | Black | Black","Male | Male | Male","30 | 23 | 26","5 | 5 | 5","Male | Male","Black | Black","18 | 17","No | No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2018-0245","07/07/2018","UOF Justified","Call for Service","Hands | Hands | Hands | Hands | Force (Escort Tech) | Hands | Hands","L1 | L1 | L1 | L1 | L1 | L1 | L1","Black | Black | Black | Black | Black | Black | White","Female | Female | Female | Female | Male | Male | Female","34 | 47 | 48 | 51 | 45 | 45 | 38","12 | 12 | 11 | 16 | 23 | 23 | 6","Male","Black","24","No","refuse verbal commands","No | No | Yes | No | No | No | No",7,"3+","2"
"FTN2018-0247","07/08/2018","UOF Justified","Call for Service","Firearm (Exhibited)","L1","Black","Female","32","4","Female","Black","22","No",NA,"No",1,"1","1"
"FTN2018-0248","07/08/2018","UOF Justified","Call for Service","Hands | Takedown (no injury) | Firearm (Exhibited) | Hands","L1 | L1 | L1 | L1","White | White | White | White","Male | Male | Male | Male","44 | 44 | 31 | 31","23 | 23 | 3 | 3","Male","Black","33","No","Weapon Exhibited","No | No | No | No",4,"3+","1"
"FTN2018-0248","07/08/2018","UOF Justified","Call for Service","Hands | Takedown (no injury) | Firearm (Exhibited) | Hands","L1 | L1 | L1 | L1","White | White | White | White","Male | Male | Male | Male","44 | 44 | 31 | 31","23 | 23 | 3 | 3","Male","Black","33","No","Weapon Exhibited","No | No | No | No",4,"3+","1"
"FTN2018-0249","07/08/2018","UOF Justified With Training","Call for Service","Firearm (Exhibited)","L1","White","Male","30","4","Male","Black","34","No","Weapon Exhibited","No",1,"1","1"
"FTN2018-0250","07/09/2018","UOF Justified","Pedestrian Stop","Force (Defense Tech) | CEW Deployment","L2 | L2","White | Black","Male | Male","53 | 31","5 | 4","Male","Black","26","Yes","Flight from an Officer","No | No",2,"2","2"
"FTN2018-0250","07/09/2018","UOF Justified","Pedestrian Stop","Force (Defense Tech) | CEW Deployment","L2 | L2","White | Black","Male | Male","53 | 31","5 | 4","Male","Black","26","Yes","Flight from an Officer","No | No",2,"2","2"
"FTN2018-0251","07/09/2018","UOF Justified","Arresting","Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1","White | White | White | White","Male | Male | Male | Male","48 | 39 | 28 | 27","2 | 16 | 6 | 6","Male","Black","36","No","Resisting Lawful Arrest","No | No | No | No",4,"3+","1"
"FTN2018-0252","07/10/2018","UOF Justified","Arresting","Hands | Hands","L1 | L1","Black | White","Male | Male","41 | 27","12 | 3",NA,NA,"54","No","Flight from an Officer","No | No",2,"2","1"
"FTN2018-0253","07/10/2018","UOF Justified","Serving a Warrant","CEW Deployment","L2","Black","Male","38","16","Male","Black","17","Yes","Resisting Lawful Arrest","No",1,"1","2"
"FTN2018-0261","07/12/2018","UOF Justified","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | White","Male | Male | Male","29 | 32 | 30","8 | 6 | 6","Male | Male | Male","Black | Black | Black","31 | 27 | 30","No | No | No","Tactical Deployments","No | No | No",3,"3+","1"
